Round Number, Total Energy Consumption
1381,20.831718
1382,20.838473
1383,20.845228
1384,20.851983
1385,20.858738
1386,20.865493
1387,20.872248
1388,20.879003
1389,20.885758
1390,20.892513
1391,20.899268
1392,20.906023
1393,20.912779
1394,20.919534
1395,20.926289
1396,20.933044
1397,20.939799
1398,20.946554
1399,20.953309
1400,20.960064
1401,20.966819
1402,20.973574
1403,20.980329
1404,20.987084
1405,20.993839
1406,21.000594
1407,21.007349
1408,21.014104
1409,21.020859
1410,21.027614
1411,21.034369
1412,21.041124
1413,21.047879
1414,21.054635
1415,21.061390
1416,21.068145
1417,21.074900
1418,21.081655
1419,21.088056
1420,21.094457
1421,21.100859
1422,21.107260
1423,21.113661
1424,21.120062
1425,21.126464
1426,21.132865
1427,21.139266
1428,21.145668
1429,21.152069
1430,21.158470
1431,21.164871
1432,21.171273
1433,21.177674
1434,21.184075
1435,21.190477
1436,21.196878
1437,21.203279
1438,21.209680
1439,21.216082
1440,21.222483
1441,21.228884
1442,21.235286
1443,21.241687
1444,21.248088
1445,21.254489
1446,21.260891
1447,21.267292
1448,21.273693
1449,21.280095
1450,21.286496
1451,21.292897
1452,21.299298
1453,21.305700
1454,21.312101
1455,21.318502
1456,21.324904
1457,21.331305
1458,21.337706
1459,21.344107
1460,21.350509
1461,21.356910
1462,21.363311
1463,21.369713
1464,21.376114
1465,21.382515
1466,21.388916
1467,21.395318
1468,21.401719
1469,21.408120
1470,21.414522
1471,21.420923
1472,21.427324
1473,21.433725
1474,21.440127
1475,21.446528
1476,21.452929
1477,21.459331
1478,21.465732
1479,21.472133
1480,21.478534
1481,21.484936
1482,21.491337
1483,21.497738
1484,21.504140
1485,21.510541
1486,21.516942
1487,21.523343
1488,21.529745
1489,21.536146
1490,21.542547
1491,21.548949
1492,21.555350
1493,21.561751
1494,21.568152
1495,21.574554
1496,21.580955
1497,21.587356
1498,21.593758
1499,21.600159
1500,21.606560
1501,21.612961
1502,21.619363
1503,21.625764
1504,21.632165
1505,21.638567
1506,21.644968
1507,21.651369
1508,21.657770
1509,21.664172
1510,21.670573
1511,21.676974
1512,21.683376
1513,21.689777
1514,21.696178
1515,21.702579
1516,21.708981
1517,21.715382
1518,21.721783
1519,21.727855
1520,21.733926
1521,21.739997
1522,21.746069
1523,21.752140
1524,21.758211
1525,21.764283
1526,21.770354
1527,21.776425
1528,21.782168
1529,21.787911
1530,21.793653
1531,21.799396
1532,21.805139
1533,21.810881
1534,21.816624
1535,21.822367
1536,21.828109
1537,21.833852
1538,21.839594
1539,21.845337
1540,21.850754
1541,21.856172
1542,21.861589
1543,21.867006
1544,21.872423
1545,21.877840
1546,21.883258
1547,21.888675
1548,21.894092
1549,21.899509
1550,21.904927
1551,21.910344
1552,21.915761
1553,21.921178
1554,21.926595
1555,21.932013
1556,21.937430
1557,21.942847
1558,21.948264
1559,21.953682
1560,21.959099
1561,21.964516
1562,21.969933
1563,21.975350
1564,21.980768
1565,21.986185
1566,21.991602
1567,21.997019
1568,22.002437
1569,22.007854
1570,22.013271
1571,22.018688
1572,22.024105
1573,22.029523
1574,22.034940
1575,22.040357
1576,22.045774
1577,22.051191
1578,22.056609
1579,22.062026
1580,22.067443
1581,22.072860
1582,22.078278
1583,22.083695
1584,22.089112
1585,22.094529
1586,22.099946
1587,22.105364
1588,22.110781
1589,22.116198
1590,22.121615
1591,22.127033
1592,22.132450
1593,22.137867
1594,22.143284
1595,22.148701
1596,22.154119
1597,22.159536
1598,22.164953
1599,22.170370
1600,22.175788
1601,22.181205
1602,22.186622
1603,22.192039
1604,22.197456
1605,22.202874
1606,22.208291
1607,22.213396
1608,22.218501
1609,22.223605
1610,22.228710
1611,22.233815
1612,22.238920
1613,22.244025
1614,22.249130
1615,22.254235
1616,22.259339
1617,22.264444
1618,22.269549
1619,22.274654
1620,22.279759
1621,22.284864
1622,22.289969
1623,22.295073
1624,22.300178
1625,22.305283
1626,22.310388
1627,22.315493
1628,22.320598
1629,22.325394
1630,22.330191
1631,22.334988
1632,22.339785
1633,22.344581
1634,22.349378
1635,22.354175
1636,22.358971
1637,22.363768
1638,22.368565
1639,22.373361
1640,22.378158
1641,22.382955
1642,22.387752
1643,22.392548
1644,22.397345
1645,22.402142
1646,22.406938
1647,22.411735
1648,22.416532
1649,22.421328
1650,22.426125
1651,22.430922
1652,22.435719
1653,22.440515
1654,22.445312
1655,22.450109
1656,22.454905
1657,22.459702
1658,22.464499
1659,22.469295
1660,22.474092
1661,22.478889
1662,22.483384
1663,22.487878
1664,22.492373
1665,22.496867
1666,22.501362
1667,22.505857
1668,22.510351
1669,22.514846
1670,22.519341
1671,22.523835
1672,22.528330
1673,22.532825
1674,22.537319
1675,22.541814
1676,22.546309
1677,22.550803
1678,22.555298
1679,22.559793
1680,22.564287
1681,22.568782
1682,22.573277
1683,22.577771
1684,22.582266
1685,22.586761
1686,22.591255
1687,22.595750
1688,22.600245
1689,22.604739
1690,22.609234
1691,22.613729
1692,22.618223
1693,22.622718
1694,22.627213
1695,22.631707
1696,22.636202
1697,22.640697
1698,22.645191
1699,22.649686
1700,22.654181
1701,22.658675
1702,22.663170
1703,22.667665
1704,22.672159
1705,22.676654
1706,22.681148
1707,22.685643
1708,22.690138
1709,22.694632
1710,22.699127
1711,22.703622
1712,22.708116
1713,22.712611
1714,22.716814
1715,22.721016
1716,22.725219
1717,22.729421
1718,22.733624
1719,22.737826
1720,22.742029
1721,22.746231
1722,22.750434
1723,22.754636
1724,22.758839
1725,22.763041
1726,22.767244
1727,22.771446
1728,22.775649
1729,22.779851
1730,22.784054
1731,22.788256
1732,22.792459
1733,22.796661
1734,22.800864
1735,22.805066
1736,22.809269
1737,22.813471
1738,22.817674
1739,22.821876
1740,22.826079
1741,22.830281
1742,22.834484
1743,22.838686
1744,22.842889
1745,22.847091
1746,22.851294
1747,22.855496
1748,22.859699
1749,22.863901
1750,22.868104
1751,22.872306
1752,22.876509
1753,22.880711
1754,22.884914
1755,22.889116
1756,22.893319
1757,22.897521
1758,22.901724
1759,22.905926
1760,22.910129
1761,22.914331
1762,22.918534
1763,22.922736
1764,22.926939
1765,22.931141
1766,22.935344
1767,22.939546
1768,22.943749
1769,22.947951
1770,22.952154
1771,22.956356
1772,22.960559
1773,22.964761
1774,22.968964
1775,22.973166
1776,22.977369
1777,22.981571
1778,22.985773
1779,22.989976
1780,22.994178
1781,22.998381
1782,23.002583
1783,23.006786
1784,23.010707
1785,23.014629
1786,23.018269
1787,23.021910
1788,23.025550
1789,23.029191
1790,23.032831
1791,23.036472
1792,23.040112
1793,23.043753
1794,23.047393
1795,23.051034
1796,23.054674
1797,23.058315
1798,23.061955
