Round Number, Network Remaining Energy
717,6.963694
718,6.939097
719,6.901547
720,6.869937
721,6.845380
722,6.815424
723,6.780406
724,6.751424
725,6.711863
726,6.679210
727,6.674246
728,6.669589
729,6.645276
730,6.619084
731,6.582658
732,6.577586
733,6.544736
734,6.540135
735,6.515526
736,6.480260
737,6.454909
738,6.449844
739,6.445224
740,6.440158
741,6.415437
742,6.373707
743,6.348590
744,6.323637
745,6.296942
746,6.291169
747,6.266664
748,6.261587
749,6.228773
750,6.198732
751,6.164647
752,6.132598
753,6.126825
754,6.091451
755,6.062206
756,6.037545
757,6.013036
758,6.007988
759,5.965275
760,5.930098
761,5.893180
762,5.885577
763,5.842464
764,5.804974
765,5.800369
766,5.775836
767,5.740943
768,5.704305
769,5.671345
770,5.636448
771,5.611638
772,5.606543
773,5.581947
774,5.576756
775,5.544833
776,5.539729
777,5.534669
778,5.501514
779,5.468988
780,5.463876
781,5.458852
782,5.453752
783,5.420632
784,5.389992
785,5.365325
786,5.361150
787,5.336208
788,5.309527
789,5.280084
790,5.275486
791,5.270851
792,5.237762
793,5.203817
794,5.177116
795,5.142319
796,5.117688
797,5.113076
798,5.088227
799,5.062473
800,5.037365
801,5.004364
802,4.979767
803,4.975530
804,4.970477
805,4.965797
806,4.939338
807,4.905537
808,4.879410
809,4.848518
810,4.818903
811,4.794937
812,4.769478
813,4.742424
814,4.707965
815,4.700721
816,4.665669
817,4.661064
818,4.627948
819,4.594539
820,4.559964
821,4.554445
822,4.519202
823,4.486137
824,4.451049
825,4.446381
826,4.419760
827,4.414016
828,4.386838
829,4.382641
830,4.344911
831,4.340153
832,4.334592
833,4.302304
834,4.269371
835,4.234385
836,4.201029
837,4.161343
838,4.136074
839,4.103743
840,4.098743
841,4.065109
842,4.031188
843,4.005519
844,4.000462
845,3.995415
846,3.990803
847,3.964995
848,3.959939
849,3.932618
850,3.908259
851,3.904095
852,3.899494
853,3.874355
854,3.870117
855,3.845175
856,3.814900
857,3.790734
858,3.786991
859,3.759755
860,3.724083
861,3.688847
862,3.683103
863,3.650013
864,3.625044
865,3.620003
866,3.587486
867,3.581727
868,3.550477
869,3.525818
870,3.492661
871,3.484148
872,3.449604
873,3.418538
874,3.413627
875,3.407893
876,3.382761
877,3.358587
878,3.351636
879,3.321397
880,3.296379
881,3.269646
882,3.243308
883,3.209100
884,3.199112
885,3.163366
886,3.158033
887,3.149471
888,3.142487
889,3.117378
890,3.111181
891,3.087396
892,3.058568
893,3.030384
894,3.007925
895,2.999809
896,2.991580
897,2.983816
898,2.948147
899,2.919374
900,2.895819
901,2.887917
902,2.863919
903,2.839370
904,2.816347
905,2.792972
906,2.766939
907,2.760083
908,2.733380
909,2.706543
910,2.697617
911,2.672364
912,2.649798
913,2.622999
914,2.600470
915,2.578653
916,2.557077
917,2.535392
918,2.512019
919,2.486331
920,2.460350
921,2.434651
922,2.416339
923,2.391023
924,2.366786
925,2.341375
926,2.322868
927,2.304213
928,2.279849
929,2.254154
930,2.231555
931,2.207304
932,2.181339
933,2.161927
934,2.138636
935,2.113220
936,2.095053
937,2.069697
938,2.044152
939,2.027053
940,2.008961
941,1.993263
942,1.981658
943,1.963710
944,1.947826
945,1.931824
946,1.913906
947,1.902757
948,1.891591
949,1.876907
950,1.859536
951,1.842082
952,1.824515
953,1.809559
954,1.792605
955,1.780091
956,1.763058
957,1.755300
958,1.741033
959,1.731792
960,1.723047
961,1.710562
962,1.696035
963,1.681413
964,1.666909
965,1.654300
966,1.641819
967,1.627538
968,1.617682
969,1.608131
970,1.593579
971,1.579098
972,1.564444
973,1.550207
974,1.535703
975,1.523094
976,1.510613
977,1.496026
978,1.486784
979,1.478040
980,1.463481
981,1.454756
982,1.445425
983,1.430799
984,1.418561
985,1.404082
986,1.389580
987,1.374991
988,1.365588
989,1.350966
990,1.336381
991,1.324106
992,1.309617
993,1.300873
994,1.288392
995,1.273806
996,1.259313
997,1.250071
998,1.240521
999,1.230633
1000,1.216831
1001,1.203850
1002,1.191021
1003,1.180553
1004,1.172618
1005,1.165097
1006,1.157970
1007,1.152767
1008,1.147970
1009,1.143339
1010,1.138171
1011,1.132877
1012,1.127966
1013,1.123229
1014,1.118133
1015,1.113259
1016,1.107810
1017,1.102924
1018,1.098292
1019,1.093496
1020,1.088293
1021,1.083125
1022,1.078213
1023,1.073476
1024,1.068182
1025,1.063308
1026,1.058212
1027,1.053325
1028,1.048694
1029,1.043246
1030,1.038449
1031,1.033246
1032,1.028510
1033,1.023598
1034,1.018430
1035,1.013136
1036,1.008262
1037,1.003631
1038,0.998535
1039,0.993648
1040,0.988199
1041,0.983403
1042,0.978666
1043,0.973754
1044,0.968551
1045,0.963383
1046,0.958752
1047,0.953878
1048,0.948584
1049,0.943697
1050,0.938601
1051,0.933804
1052,0.928356
1053,0.923619
1054,0.918708
1055,0.914077
1056,0.908874
1057,0.904000
1058,0.898832
1059,0.893945
1060,0.888651
1061,0.883555
1062,0.878758
1063,0.874021
1064,0.868573
1065,0.863661
1066,0.859030
1067,0.854156
1068,0.848953
1069,0.844066
1070,0.838898
1071,0.834102
1072,0.829006
1073,0.824269
1074,0.818975
1075,0.814344
1076,0.809432
1077,0.803984
1078,0.799109
1079,0.794223
1080,0.789020
1081,0.783852
1082,0.779055
1083,0.774318
1084,0.769222
1085,0.764591
1086,0.759297
1087,0.754386
1088,0.748937
1089,0.744063
1090,0.739176
1091,0.734379
1092,0.729642
1093,0.724440
1094,0.719272
1095,0.714641
1096,0.709545
1097,0.704633
1098,0.699339
1099,0.694465
1100,0.689017
1101,0.684130
1102,0.679333
1103,0.674596
1104,0.669965
1105,0.664762
1106,0.659594
1107,0.654498
1108,0.649587
1109,0.644713
1110,0.639418
1111,0.634531
1112,0.629795
1113,0.625164
1114,0.620367
1115,0.614918
1116,0.609716
1117,0.604548
1118,0.599452
1119,0.594540
1120,0.589666
1121,0.585035
1122,0.580148
1123,0.574854
1124,0.570117
1125,0.565320
1126,0.559872
1127,0.554669
1128,0.549501
1129,0.544405
1130,0.539494
1131,0.534620
1132,0.529988
1133,0.525252
1134,0.520365
1135,0.515568
1136,0.510274
1137,0.504825
1138,0.499914
1139,0.494711
1140,0.489543
1141,0.484447
1142,0.479573
1143,0.474942
1144,0.470205
1145,0.465318
1146,0.460521
1147,0.455227
1148,0.449779
1149,0.445148
1150,0.440236
1151,0.435362
1152,0.430266
1153,0.425529
1154,0.420362
1155,0.415159
1156,0.410272
1157,0.405475
1158,0.400181
1159,0.395550
1160,0.390101
1161,0.385190
1162,0.380316
1163,0.375579
1164,0.370483
1165,0.365596
1166,0.360428
1167,0.355225
1168,0.350429
1169,0.345797
1170,0.340503
1171,0.335629
1172,0.330717
1173,0.325981
1174,0.320532
1175,0.315645
1176,0.310550
1177,0.305753
1178,0.300585
1179,0.295382
1180,0.290751
1181,0.286595
1182,0.282950
1183,0.280069
1184,0.278058
1185,0.277193
1186,0.276993
1187,0.276793
1188,0.276592
1189,0.276392
1190,0.276192
1191,0.275992
1192,0.275792
1193,0.275592
1194,0.275392
1195,0.275192
1196,0.274992
1197,0.274792
1198,0.274592
1199,0.274392
1200,0.274192
1201,0.273992
1202,0.273792
1203,0.273592
1204,0.273392
1205,0.273192
1206,0.272992
1207,0.272792
1208,0.272592
1209,0.272392
1210,0.272192
1211,0.271992
1212,0.271792
1213,0.271591
1214,0.271391
1215,0.271191
1216,0.270991
1217,0.270791
1218,0.270591
1219,0.270391
1220,0.270191
1221,0.269991
1222,0.269791
1223,0.269591
1224,0.269391
1225,0.269191
1226,0.268991
1227,0.268791
1228,0.268591
1229,0.268391
1230,0.268191
1231,0.267991
1232,0.267791
1233,0.267591
1234,0.267391
1235,0.267191
1236,0.266991
1237,0.266791
1238,0.266590
1239,0.266390
1240,0.266190
1241,0.265990
1242,0.265790
1243,0.265590
1244,0.265390
1245,0.265190
1246,0.264990
1247,0.264790
1248,0.264590
1249,0.264390
1250,0.264190
1251,0.263990
1252,0.263790
1253,0.263590
1254,0.263390
1255,0.263190
1256,0.262990
1257,0.262790
1258,0.262590
1259,0.262390
1260,0.262190
1261,0.261990
1262,0.261790
1263,0.261589
1264,0.261389
1265,0.261189
1266,0.260989
1267,0.260789
1268,0.260589
1269,0.260389
1270,0.260189
1271,0.259989
1272,0.259789
1273,0.259589
1274,0.259389
1275,0.259189
1276,0.258989
1277,0.258789
1278,0.258589
1279,0.258389
1280,0.258189
1281,0.257989
1282,0.257789
1283,0.257589
1284,0.257389
1285,0.257189
1286,0.256989
1287,0.256789
1288,0.256588
1289,0.256388
1290,0.256188
1291,0.255988
1292,0.255788
1293,0.255588
1294,0.255388
1295,0.255188
1296,0.254988
1297,0.254788
1298,0.254588
1299,0.254388
1300,0.254188
1301,0.253988
1302,0.253788
1303,0.253588
1304,0.253388
1305,0.253188
1306,0.252988
1307,0.252788
1308,0.252588
1309,0.252388
1310,0.252188
1311,0.251988
1312,0.251788
1313,0.251587
1314,0.251387
1315,0.251187
1316,0.250987
1317,0.250787
1318,0.250587
1319,0.250387
1320,0.250187
1321,0.249987
1322,0.249787
1323,0.249587
1324,0.249387
1325,0.249187
1326,0.248987
1327,0.248787
1328,0.248587
1329,0.248387
1330,0.248187
1331,0.247987
1332,0.247787
1333,0.247587
1334,0.247387
1335,0.247187
1336,0.246987
1337,0.246787
1338,0.246586
1339,0.246386
1340,0.246186
1341,0.245986
1342,0.245786
1343,0.245586
1344,0.245386
1345,0.245186
1346,0.244986
1347,0.244786
1348,0.244586
1349,0.244386
1350,0.244186
1351,0.243986
1352,0.243786
1353,0.243586
1354,0.243386
1355,0.243186
1356,0.242986
1357,0.242786
1358,0.242586
1359,0.242386
1360,0.242186
1361,0.241986
1362,0.241786
1363,0.241585
1364,0.241385
1365,0.241185
1366,0.240985
1367,0.240785
1368,0.240585
1369,0.240385
1370,0.240185
1371,0.239985
1372,0.239785
1373,0.239585
1374,0.239385
1375,0.239185
1376,0.238985
1377,0.238785
1378,0.238585
1379,0.238385
1380,0.238185
1381,0.237985
1382,0.237785
1383,0.237585
1384,0.237385
1385,0.237185
1386,0.236985
1387,0.236785
1388,0.236584
1389,0.236384
1390,0.236184
1391,0.235984
1392,0.235784
1393,0.235584
1394,0.235384
1395,0.235184
1396,0.234984
1397,0.234784
1398,0.234584
1399,0.234384
1400,0.234184
1401,0.233984
1402,0.233784
1403,0.233584
1404,0.233384
1405,0.233184
1406,0.232984
1407,0.232784
1408,0.232584
1409,0.232384
1410,0.232184
1411,0.231984
1412,0.231784
1413,0.231583
1414,0.231383
1415,0.231183
1416,0.230983
1417,0.230783
1418,0.230583
1419,0.230383
1420,0.230183
1421,0.229983
1422,0.229783
1423,0.229583
1424,0.229383
1425,0.229183
1426,0.228983
1427,0.228783
1428,0.228583
1429,0.228383
1430,0.228183
1431,0.227983
1432,0.227783
1433,0.227583
1434,0.227383
1435,0.227183
1436,0.226983
1437,0.226783
1438,0.226582
1439,0.226382
1440,0.226182
1441,0.225982
1442,0.225782
1443,0.225582
1444,0.225382
1445,0.225182
1446,0.224982
1447,0.224782
1448,0.224582
1449,0.224382
1450,0.224182
1451,0.223982
1452,0.223782
1453,0.223582
1454,0.223382
1455,0.223182
1456,0.222982
1457,0.222782
1458,0.222582
1459,0.222382
1460,0.222182
1461,0.221982
1462,0.221782
1463,0.221581
1464,0.221381
1465,0.221181
1466,0.220981
1467,0.220781
1468,0.220581
1469,0.220381
1470,0.220181
1471,0.219981
1472,0.219781
1473,0.219581
1474,0.219381
1475,0.219181
1476,0.218981
1477,0.218781
1478,0.218581
1479,0.218381
1480,0.218181
1481,0.217981
1482,0.217781
1483,0.217581
1484,0.217381
1485,0.217181
1486,0.216981
1487,0.216781
1488,0.216580
1489,0.216380
1490,0.216180
1491,0.215980
1492,0.215780
1493,0.215580
1494,0.215380
1495,0.215180
1496,0.214980
1497,0.214780
1498,0.214580
1499,0.214380
1500,0.214180
1501,0.213980
1502,0.213780
1503,0.213580
1504,0.213380
1505,0.213180
1506,0.212980
1507,0.212780
1508,0.212580
1509,0.212380
1510,0.212180
1511,0.211980
1512,0.211780
1513,0.211579
1514,0.211379
1515,0.211179
1516,0.210979
1517,0.210779
1518,0.210579
1519,0.210379
1520,0.210179
1521,0.209979
1522,0.209779
1523,0.209579
1524,0.209379
1525,0.209179
1526,0.208979
1527,0.208779
1528,0.208579
1529,0.208379
1530,0.208179
1531,0.207979
1532,0.207779
1533,0.207579
1534,0.207379
1535,0.207179
1536,0.206979
1537,0.206779
1538,0.206578
1539,0.206378
1540,0.206178
1541,0.205978
1542,0.205778
1543,0.205578
1544,0.205378
1545,0.205178
1546,0.204978
1547,0.204778
1548,0.204578
1549,0.204378
1550,0.204178
1551,0.203978
1552,0.203778
1553,0.203578
1554,0.203378
1555,0.203178
1556,0.202978
1557,0.202778
1558,0.202578
1559,0.202378
1560,0.202178
1561,0.201978
1562,0.201778
1563,0.201577
1564,0.201377
1565,0.201177
1566,0.200977
1567,0.200777
1568,0.200577
1569,0.200377
1570,0.200177
1571,0.199977
1572,0.199777
1573,0.199577
1574,0.199377
1575,0.199177
1576,0.198977
1577,0.198777
1578,0.198577
1579,0.198377
1580,0.198177
1581,0.197977
1582,0.197777
1583,0.197577
1584,0.197377
1585,0.197177
1586,0.196977
1587,0.196777
1588,0.196576
1589,0.196376
1590,0.196176
1591,0.195976
1592,0.195776
1593,0.195576
1594,0.195376
1595,0.195176
1596,0.194976
1597,0.194776
1598,0.194576
1599,0.194376
1600,0.194176
1601,0.193976
1602,0.193776
1603,0.193576
1604,0.193376
1605,0.193176
1606,0.192976
1607,0.192776
1608,0.192576
1609,0.192376
1610,0.192176
1611,0.191976
1612,0.191776
1613,0.191575
1614,0.191375
1615,0.191175
1616,0.190975
1617,0.190775
1618,0.190575
1619,0.190375
1620,0.190175
1621,0.189975
1622,0.189775
1623,0.189575
1624,0.189375
1625,0.189175
1626,0.188975
1627,0.188775
1628,0.188575
1629,0.188375
1630,0.188175
1631,0.187975
1632,0.187775
1633,0.187575
1634,0.187375
1635,0.187175
1636,0.186975
1637,0.186775
1638,0.186574
1639,0.186374
1640,0.186174
1641,0.185974
1642,0.185774
1643,0.185574
1644,0.185374
1645,0.185174
1646,0.184974
1647,0.184774
1648,0.184574
1649,0.184374
1650,0.184174
1651,0.183974
1652,0.183774
1653,0.183574
1654,0.183374
1655,0.183174
1656,0.182974
1657,0.182774
1658,0.182574
1659,0.182374
1660,0.182174
1661,0.181974
1662,0.181774
1663,0.181573
1664,0.181373
1665,0.181173
1666,0.180973
1667,0.180773
1668,0.180573
1669,0.180373
1670,0.180173
1671,0.179973
1672,0.179773
1673,0.179573
1674,0.179373
1675,0.179173
1676,0.178973
1677,0.178773
1678,0.178573
1679,0.178373
1680,0.178173
1681,0.177973
1682,0.177773
1683,0.177573
1684,0.177373
1685,0.177173
1686,0.176973
1687,0.176773
1688,0.176572
1689,0.176372
1690,0.176172
1691,0.175972
1692,0.175772
1693,0.175572
1694,0.175372
1695,0.175172
1696,0.174972
1697,0.174772
1698,0.174572
1699,0.174372
1700,0.174172
1701,0.173972
1702,0.173772
1703,0.173572
1704,0.173372
1705,0.173172
1706,0.172972
1707,0.172772
1708,0.172572
1709,0.172372
1710,0.172172
1711,0.171972
1712,0.171772
1713,0.171571
1714,0.171371
1715,0.171171
1716,0.170971
1717,0.170771
1718,0.170571
1719,0.170371
1720,0.170171
1721,0.169971
1722,0.169771
1723,0.169571
1724,0.169371
1725,0.169171
1726,0.168971
1727,0.168771
1728,0.168571
1729,0.168371
1730,0.168171
1731,0.167971
1732,0.167771
1733,0.167571
1734,0.167371
1735,0.167171
1736,0.166971
1737,0.166771
1738,0.166570
1739,0.166370
1740,0.166170
1741,0.165970
1742,0.165770
1743,0.165570
1744,0.165370
1745,0.165170
1746,0.164970
1747,0.164770
1748,0.164570
1749,0.164370
1750,0.164170
1751,0.163970
1752,0.163770
1753,0.163570
1754,0.163370
1755,0.163170
1756,0.162970
1757,0.162770
1758,0.162570
1759,0.162370
1760,0.162170
1761,0.161970
1762,0.161770
1763,0.161569
1764,0.161369
1765,0.161169
1766,0.160969
1767,0.160769
1768,0.160569
1769,0.160369
1770,0.160169
1771,0.159969
1772,0.159769
1773,0.159569
1774,0.159369
1775,0.159169
1776,0.158969
1777,0.158769
1778,0.158569
1779,0.158369
1780,0.158169
1781,0.157969
1782,0.157769
1783,0.157569
1784,0.157369
1785,0.157169
1786,0.156969
1787,0.156769
1788,0.156568
1789,0.156368
1790,0.156168
1791,0.155968
1792,0.155768
1793,0.155568
1794,0.155368
1795,0.155168
1796,0.154968
1797,0.154768
1798,0.154568
1799,0.154368
1800,0.154168
1801,0.153968
1802,0.153768
1803,0.153568
1804,0.153368
1805,0.153168
1806,0.152968
1807,0.152768
1808,0.152568
1809,0.152368
1810,0.152168
1811,0.151968
1812,0.151768
1813,0.151567
1814,0.151367
1815,0.151167
1816,0.150967
1817,0.150767
1818,0.150567
1819,0.150367
1820,0.150167
1821,0.149967
1822,0.149767
1823,0.149567
1824,0.149367
1825,0.149167
1826,0.148967
1827,0.148767
1828,0.148567
1829,0.148367
1830,0.148167
1831,0.147967
1832,0.147767
1833,0.147567
1834,0.147367
1835,0.147167
1836,0.146967
1837,0.146767
1838,0.146566
1839,0.146366
1840,0.146166
1841,0.145966
1842,0.145766
1843,0.145566
1844,0.145366
1845,0.145166
1846,0.144966
1847,0.144766
1848,0.144566
1849,0.144366
1850,0.144166
1851,0.143966
1852,0.143766
1853,0.143566
1854,0.143366
1855,0.143166
1856,0.142966
1857,0.142766
1858,0.142566
1859,0.142366
1860,0.142166
1861,0.141966
1862,0.141766
1863,0.141565
1864,0.141365
1865,0.141165
1866,0.140965
1867,0.140765
1868,0.140565
